Id,Label,Type
2132,Il Cortile,Restaurant
2133,Weinrestaurant Turmschänke,Restaurant
2134,Gambero Rosso da Domenico,Restaurant
2135,Taverna & Trattoria Palio,Restaurant
2136,Restaurant Villa Esche,Restaurant
2137,Redüttchen,Restaurant
2138,Brasserie Colette Tim Raue,Restaurant
2139,eins44,Restaurant
2140,maiBeck,Restaurant
2141,Schwanen,Restaurant
2142,Wappen-Saal,Restaurant
2143,Hubertushof,Restaurant
2144,Das Tschecherl,Restaurant
2145,Zehntkeller,Restaurant
2146,Zur Iphöfer Kammer,Restaurant
2147,Danzer's,Restaurant
2148,Westphalenhof,Restaurant
2149,Adler Stuben,Restaurant
2150,FLYGGE,Restaurant
2151,Schwane 1404,Restaurant
2152,Am Osterfeuer,Restaurant
2153,Wieland-Stuben,Restaurant
2154,Madame Ngo - Une Brasserie Hanoi,Restaurant
2155,Jacobs Restaurant,Restaurant
2156,Otto,Restaurant
2157,Roku - Japanese Dining & Wine,Restaurant
2158,Il Teatro²,Restaurant
2159,Klinker,Restaurant
2160,Chang,Restaurant
2161,Kurpfalz Weinstuben,Restaurant
2162,Hirschkönig,Restaurant
2163,Phaedra,Restaurant
2164,Freilinger Wirt,Restaurant
2165,20° RESTOBAR,Restaurant
2166,Oechsle,Restaurant
2167,XO Seafoodbar,Restaurant
2168,Bistro oma & enkel,Restaurant
2169,Thuns Dorfkrug,Restaurant
2170,martino.kitchen,Restaurant
2171,Scala,Restaurant
2172,Ratsstube,Restaurant
2173,Steinbuck Stube,Restaurant
2174,Park-Restaurant Vogelherd,Restaurant
2175,Brunnenstuben,Restaurant
2176,Johanniter-Kreuz,Restaurant
2177,Gastraum,Restaurant
2178,Fässle le Restaurant,Restaurant
2179,Ambiente,Restaurant
2180,Dorfstube,Restaurant
2181,BECKER'S,Restaurant
2182,Uwe & Uli - Zuhause bei uns,Restaurant
2183,Seehalde,Restaurant
2184,Zur Tanne,Restaurant
2185,Zur Linde,Restaurant
2186,Bootshaus,Restaurant
2187,Meister Lampe,Restaurant
2188,Zum Hirsch,Restaurant
2189,Villa Hammerschmiede,Restaurant
2190,goldener Adler,Restaurant
2191,Krietsch,Restaurant
2192,Der Engel,Restaurant
2193,Gourmetfabrik,Restaurant
2194,Die Alte Brauerei,Restaurant
2195,Hermannshof,Restaurant
2196,Kings and Queens,Restaurant
2197,Weinstube am Brühl,Restaurant
2198,Schlossanger Alp,Restaurant
2199,Hoppe's,Restaurant
2200,Weingut,Restaurant
2201,Fährhütte 14,Restaurant
2202,La Bouche et El Pato,Restaurant
2203,Kugelmühle,Restaurant
2204,Heldmann & Herzhaft,Restaurant
2205,Gastwirtschaft Ferdinand Reuter,Restaurant
2206,Adler,Restaurant
2207,Kraftwerk,Restaurant
2208,Ondersch Genusswirtschaft,Restaurant
2209,Alpenkönig - Esslust,Restaurant
2210,Würzhaus,Restaurant
2211,Villa Medici,Restaurant
2212,von Rhemen,Restaurant
2213,LENZ,Restaurant
2214,Fischereihafen Restaurant,Restaurant
2215,Henriks,Restaurant
2216,Bahnhöfle,Restaurant
2217,Farmerhaus,Restaurant
2218,Die Reichsstadt,Restaurant
2219,Zum Rössl,Restaurant
2220,Kinfelts Kitchen & Wine,Restaurant
2221,EssensArt,Restaurant
2222,Alter Wirt,Restaurant
2223,Brasserie,Restaurant
2224,Cox,Restaurant
2225,Witwenball,Restaurant
2226,Zum Goldenen Engel,Restaurant
2227,Villa Busch,Restaurant
2228,Brook,Restaurant
2229,Schneider Stube,Restaurant
2230,Frankfurter Botschaft,Restaurant
2231,Zöllner's Weinstube,Restaurant
2232,SonneStuben,Restaurant
2233,Mühlenhof,Restaurant
2234,Medici,Restaurant
2235,Bistro Villa Merton,Restaurant
2236,Brasserie Stadthaus,Restaurant
2237,The Duchy,Restaurant
2238,Butcher's american steakhouse,Restaurant
2239,Adler Wirtschaft,Restaurant
2240,Saittavini,Restaurant
2241,Restaurant Baiken by Schröer,Restaurant
2242,Mon Amie Maxi,Restaurant
2243,Gasthaus Landbrecht,Restaurant
2244,Eiflers Zeiten,Restaurant
2245,Landhaus am See,Restaurant
2246,WEINreich,Restaurant
2247,Schmidt's,Restaurant
2248,Köllner's Landhaus,Restaurant
2249,St. Urban,Restaurant
2250,Zucker,Restaurant
2251,Reussenstein,Restaurant
2252,Krone,Restaurant
2253,der allerKrug,Restaurant
2254,Leopold,Restaurant
2255,Kucher's Weinwirtschaft,Restaurant
2256,Restaurant 1718,Restaurant
2257,Bergfriedel,Restaurant
2258,Schapers,Restaurant
2259,Berchtesgadener Esszimmer,Restaurant
2260,Behl's Restaurant,Restaurant
2261,Stubersheimer Hof,Restaurant
2262,Forellenhof,Restaurant
2263,GRACE,Restaurant
2264,INDIA CLUB,Restaurant
2265,Rolin,Restaurant
2266,Beesten,Restaurant
2267,Koch und Kellner,Restaurant
2268,Alte Mühle,Restaurant
2269,Stumpenhof,Restaurant
2270,Lumperhof,Restaurant
2271,Culinarium,Restaurant
2272,Die Halde,Restaurant
2273,freistil.,Restaurant
2274,Sülbecker Krug,Restaurant
2275,Gasthaus Sternen Post,Restaurant
2276,Torkel,Restaurant
2277,Sternenschanz,Restaurant
2278,Hermannshöhle,Restaurant
2279,Postschänke,Restaurant
2280,Spinne,Restaurant
2281,Hackbarth's Restaurant,Restaurant
2282,DAS BERNHARDS,Restaurant
2283,Zirbelstube,Restaurant
2284,Novalis,Restaurant
2285,Gaststube Zum Klosterbräu,Restaurant
2286,Kaiserblick,Restaurant
2287,Stüffel,Restaurant
2288,Herzog von Burgund,Restaurant
2289,Wirtshaus zur Sonne,Restaurant
2290,Husar,Restaurant
2291,GRILL,Restaurant
2292,Gasthaus Adler,Restaurant
2293,H'manns,Restaurant
2294,Das Esszimmer,Restaurant
2295,Spitzweg,Restaurant
2296,Ostaria da Gino,Restaurant
2297,Der Kaiserhof,Restaurant
2298,Jagstmühle,Restaurant
2299,Lamm,Restaurant
2300,Rive Fish & Faible,Restaurant
2301,Rüssel's Hasenpfeffer,Restaurant
2302,heyligenstaedt,Restaurant
2303,Jennerwein,Restaurant
2304,Schillingshof,Restaurant
2305,Posthörnle,Restaurant
2306,STRAUCHS FALCO,Restaurant
2307,Wirtshaus zum Herrmannsdorfer Schweinsbräu,Restaurant
2308,Zur Krone,Restaurant
2309,L'arte in cucina,Restaurant
2310,Hopmanns Olive,Restaurant
2311,Basho-An,Restaurant
2312,Zum Goldenen Anker,Restaurant
2313,Torschänke,Restaurant
2314,La Cuisine Mario Kalweit,Restaurant
2315,Zu den drei Linden - Lindenblüte,Restaurant
2316,Kölbl,Restaurant
2317,Sette Feinbistro,Restaurant
2318,MAXIME de Guy Graessel,Restaurant
2319,Zum Goldenen Pflug,Restaurant
2320,ESSperiment,Restaurant
2321,Orania.Berlin,Restaurant
2322,alexxanders,Restaurant
2323,Altdeutsches Restaurant,Restaurant
2324,Warias Am Markt,Restaurant
2325,Lockstein 1,Restaurant
2326,Rebstock-Stube,Restaurant
2327,Landhaus Gräfenthal,Restaurant
2328,Crackers,Restaurant
2329,Schlosskeller,Restaurant
2330,Die Klosterschänke,Restaurant
2331,Le Comptoir,Restaurant
2332,Brauereigasthof Aying,Restaurant
2333,Brasserie Lamazère,Restaurant
2334,Landgasthaus Zum Kreuz,Restaurant
2335,Berghofstüble,Restaurant
2336,GUI,Restaurant
2337,Schwarzmatt,Restaurant
2338,Abt- und Schäferstube,Restaurant
2339,WEINrestaurant Ayler Kupp,Restaurant
2340,Gasthaus Assenmacher,Restaurant
2341,Die Ratsstuben,Restaurant
2342,Trichards,Restaurant
2343,SCHORN by Lukas Schild,Restaurant
2344,Müllers auf der Rü,Restaurant
2345,Zum Simonbräu,Restaurant
2346,Der Dantler,Restaurant
2347,Das Esszimmer,Restaurant
2348,Mine,Restaurant
2349,Carte blanche,Restaurant
2350,Valentin,Restaurant
2351,sushi Lounge,Restaurant
2352,Lang is her,Restaurant
2353,5 SEN:SES by Mario Aliberti,Restaurant
2354,Félix,Restaurant
2355,DAS MAXI - GENUSSREICH,Restaurant
2356,alto,Restaurant
2357,Altes Rathaus by What the Food,Restaurant
2358,Müllers auf Norderney,Restaurant
2359,Daniels,Restaurant
2360,Restaurant Mühle,Restaurant
2361,Jäger & Lustig,Restaurant
2362,Lou im Cavalierhaus,Restaurant
2363,Les Deux Dienstbach,Restaurant
2364,Schwitzer's PUR,Restaurant
2365,Zwo20,Restaurant
2366,Fangfrisch,Restaurant
2367,JAPATAPA TOSHIBAR,Restaurant
2368,Macionga,Restaurant
2369,Feinschliff,Restaurant
2370,Margaux,Restaurant
2371,WurzelWerk,Restaurant
2372,Berta,Restaurant
2373,Porte Neuf,Restaurant
2374,Restaurant 1831,Restaurant
2375,Villa's Wine & Dine,Restaurant
2376,Vinophil,Restaurant
2377,Benders,Restaurant
2378,Konrad's,Restaurant
2379,Eatrenalin,Restaurant
2380,KRasserie im verve⁵,Restaurant
2381,Melkhus,Restaurant
2382,In Vino Veritas,Restaurant
2383,Rodesand,Restaurant
2384,Ontra,Restaurant
2385,Kuhlemann,Restaurant
2386,PIER 6,Restaurant
2387,riva,Restaurant
2388,Landhaus Rössle,Restaurant
2389,Gasthaus Lege,Restaurant
2390,Kantiners,Restaurant
2391,Das Alte Haus,Restaurant
2392,Adler,Restaurant
2393,Al Pappagallo,Restaurant
2394,Strandhaus,Restaurant
2395,Lammershof Stuben,Restaurant
2396,Jagdhaus Waldfrieden,Restaurant
2397,Rocus,Restaurant
2398,Rössle,Restaurant
2399,Engelwirts-Stube,Restaurant
2400,Tomatissimo,Restaurant
2401,Bocca di Bacco,Restaurant
2402,Johann Grill,Restaurant
2403,Hof Grothues-Potthoff - Hasenklee,Restaurant
2404,James Farmhouse,Restaurant
2405,Landgasthof Adler,Restaurant
2406,mondi,Restaurant
2407,Ratsstube,Restaurant
2408,Bistro,Restaurant
2409,Beetle,Restaurant
2410,Schorse im Leineschloss,Restaurant
2411,YOSO Asian Comfort Food,Restaurant
2412,Renoir,Restaurant
2413,Restaurant zum Bären,Restaurant
2414,AS am See,Restaurant
2415,Heiligenstein,Restaurant
2416,moriki,Restaurant
2417,Bar Mural,Restaurant
2418,Kaminstube,Restaurant
2419,Asam Schlössl,Restaurant
2420,Gasthaus Sonne,Restaurant
2421,CARTE BLANCHE,Restaurant
2422,am kai | restaurnt. seafood. drinks. elbblick,Restaurant
2423,Brasserie Ehrlich,Restaurant
2424,893 Ryotei,Restaurant
2425,Tischlein Deck Dich by Lilly,Restaurant
2426,Schupps,Restaurant
2427,ICHI,Restaurant
2428,Stilbruch,Restaurant
2429,NaNum,Restaurant
2430,STUBN in der Frasdorfer Hütte,Restaurant
2431,HIO,Restaurant
2432,Lemabri,Restaurant
2433,Zum Wendl,Restaurant
2434,Die Speiserei im Maier,Restaurant
2435,Caro's,Restaurant
2436,Springbrunnen SKLENAR,Restaurant
2437,[w]einklang,Restaurant
2438,Limbourg,Restaurant
2439,Lovis,Restaurant
2440,Die Bürgermeisterei 1728,Restaurant
2441,Fachwerk,Restaurant
2442,BEES Restaurant,Restaurant
2443,Eulenstein,Restaurant
2444,Pierburg - Erika Bergheim,Restaurant
2445,"Weinbistro ""George""",Restaurant
2446,vierzehn 85,Restaurant
2447,Wibbelings Hof,Restaurant
2448,PULS,Restaurant
2449,Minato,Restaurant
2450,Westerndorfer Stube,Restaurant
2451,Oukan,Restaurant
2452,plaisir by Hamid Heidarzadeh,Restaurant
2453,Café GUPI,Restaurant
2454,Ursprung,Restaurant
2455,Goldmund,Restaurant
2456,Weinstube Baldreit,Restaurant
2457,Sorriso,Restaurant
2458,Küppersmühle Restaurant,Restaurant
2459,Inspektorenhaus,Restaurant
2460,959,Restaurant
2461,Dae Mon,Restaurant
2462,Diekmann,Restaurant
2463,Broeding,Restaurant
2464,Höfli,Restaurant
2465,Drexlers,Restaurant
2466,Franziska,Restaurant
2467,Krone,Restaurant
2468,Waldhorn,Restaurant
2469,Genießer Stube - Daniel Raub,Restaurant
2470,KIKU Restaurant by Jan Fribus,Restaurant
2471,dario&,Restaurant
2472,fine.wine.dine.,Restaurant
2473,Laesâ,Restaurant
2474,Zauberberg,Restaurant
2475,The Wild Duck,Restaurant
2476,IL Sommelier,Restaurant
2477,Waldschlössle,Restaurant
2478,Kulinarium,Restaurant
2479,Halbstück,Restaurant
2480,Stresa,Restaurant
2481,Schlossberg,Restaurant
2482,Ebanat,Restaurant
2483,Richard Bistro,Restaurant
2484,Whiskyplaza,Restaurant
2485,Rebblick,Restaurant
2486,Ristorante Engel,Restaurant
2487,Meilenstein,Restaurant
2488,bellasLOKAL,Restaurant
2489,CARUSO Pastabar,Restaurant
2490,La Mer,Restaurant
2491,Goldene Sonne,Restaurant
2492,Baron.ess,Restaurant
2493,Pizarro Fine Dining,Restaurant
2494,AIMY,Restaurant
2495,BAR TATAR in der Schreiberei,Restaurant
2496,Kevin Gideon,Restaurant
2497,Danza,Restaurant
2498,BRIKZ,Restaurant
2499,Bernhardhof,Restaurant
2500,Anglerstuben,Restaurant
2501,sansaro,Restaurant
2502,nagare,Restaurant
2503,KOSTBAR,Restaurant
2504,Restaurant Max'es,Restaurant
2505,Salt & Silver am Meer,Restaurant
2506,Atelier Tian,Restaurant
2507,Momo Ramen,Restaurant
2508,Gasthaus zum Adler,Restaurant
2509,Löwengrube,Restaurant
2510,Roussel's Restaurant La Bonne Adresse,Restaurant
2511,Oma Wilma Heimatküche,Restaurant
2512,Zur Waage M.E.B.,Restaurant
2513,Bach & Nurup,Restaurant
2514,Restaurant BAVN,Restaurant
2515,Hosiló,Restaurant
2516,Le Coucou Vert,Restaurant
2517,Aoi,Restaurant
2518,HimmerRiget,Restaurant
2519,Izakaya Skostredet,Restaurant
2520,Young Hearts,Restaurant
2521,Kuurna,Restaurant
2522,Koizen,Restaurant
2523,Kajo,Restaurant
2524,Bon Lio,Restaurant
2525,Møntergade,Restaurant
2526,Tavolo,Restaurant
2527,à terre,Restaurant
2528,Söl,Restaurant
2529,Woodstockholm,Restaurant
2530,Rolfs Kök,Restaurant
2531,Festningen,Restaurant
2532,Restaurant vRÅ,Restaurant
2533,Restaurang Atmosfär,Restaurant
2534,Natura,Restaurant
2535,Savoy,Restaurant
2536,FYR Bistronomi & Bar,Restaurant
2537,Falsled Kro,Restaurant
2538,Matur og Drykkur,Restaurant
2539,Muru,Restaurant
2540,Vinkkeli,Restaurant
2541,Amalie,Restaurant
2542,Admiralgade 26,Restaurant
2543,Vækst,Restaurant
2544,Restaurant Kanalen,Restaurant
2545,Mielcke & Hurtigkarl,Restaurant
2546,Brasserie Sture 1912,Restaurant
2547,Levi,Restaurant
2548,Mark,Restaurant
2549,Tollbua,Restaurant
2550,Eero,Restaurant
2551,Forma,Restaurant
2552,Black Milk Gastro Bar,Restaurant
2553,Bistro Ego,Restaurant
2554,akmē,Restaurant
2555,Restaurant Anton,Restaurant
2556,Restaurant Glassalen,Restaurant
2557,Abigail & Co,Restaurant
2558,Petri,Restaurant
2559,Flor,Restaurant
2560,Fyr,Restaurant
2561,Betong,Restaurant
2562,Essence,Restaurant
2563,Brasserie Astoria,Restaurant
2564,Ark,Restaurant
2565,La Cucina Italiana,Restaurant
2566,Smör,Restaurant
2567,Brasserie Hansken,Restaurant
2568,Kockeriet,Restaurant
2569,Bloom in the Park,Restaurant
2570,Hillenberg,Restaurant
2571,Tango,Restaurant
2572,Sjømagasinet,Restaurant
2573,Gaijin,Restaurant
2574,Restaurant Sletten,Restaurant
2575,Statholderens Mat og Vinkjeller,Restaurant
2576,Molskroen,Restaurant
2577,Høst,Restaurant
2578,Sankt Annæ,Restaurant
2579,Kødbyens Fiskebar,Restaurant
2580,Sümac,Restaurant
2581,SOLEN,Restaurant
2582,Bistro Bardot,Restaurant
2583,Oxenstiernan,Restaurant
2584,Treetop,Restaurant
2585,Shelter,Restaurant
2586,Barr,Restaurant
2587,Hærværk,Restaurant
2588,freyja,Restaurant
2589,OTO,Restaurant
2590,Uformel,Restaurant
2591,Sanchez,Restaurant
2592,Theo,Restaurant
2593,Poppy,Restaurant
2594,Leijontornet,Restaurant
2595,Le Ankka,Restaurant
2596,Minh Mat,Restaurant
2597,Varemottaket,Restaurant
2598,BORD,Restaurant
2599,Prospero,Restaurant
2600,BELLIES,Restaurant
2601,Ræst,Restaurant
2602,ROKS,Restaurant
2603,Boulevard,Restaurant
2604,Human,Restaurant
2605,Fasangården,Restaurant
2606,Hotell Borgholm,Restaurant
2607,Det Røde Pakhus,Restaurant
2608,Boen Gård,Restaurant
2609,Carbon,Restaurant
2610,Restaurang B.A.R.,Restaurant
2611,Lieffroy,Restaurant
2612,Lux Dag för Dag,Restaurant
2613,Farang,Restaurant
2614,NISCH,Restaurant
2615,Boon Nam,Restaurant
2616,Ulla Winbladh,Restaurant
2617,The Pescatarian,Restaurant
2618,Lyran Matbar,Restaurant
2619,Trattoria La Strega,Restaurant
2620,Sjömagasinet,Restaurant
2621,Brasserie Blanche,Restaurant
2622,Cru,Restaurant
2623,Arakataka,Restaurant
2624,Kolonialen Bislett,Restaurant
2625,Moment,Restaurant
2626,Nokka,Restaurant
2627,Møf,Restaurant
2628,Kiin Kiin,Restaurant
2629,Vaaghals,Restaurant
2630,Kiin Kiin VeVe,Restaurant
2631,Atelier 33,Restaurant
2632,Restaurant Saga,Restaurant
2633,Restaurant Palægade,Restaurant
2634,JORD,Restaurant
2635,Washoku TOMO,Restaurant
2636,Madonna,Restaurant
2637,Kappo Andō,Restaurant
2638,Bravo,Restaurant
2639,Voisine,Restaurant
2640,aster,Restaurant
2641,Moon,Restaurant
2642,TIDES,Restaurant
2643,Rizibizi,Restaurant
2644,Restavracija Plesnik,Restaurant
2645,Hiša Raduha,Restaurant
2646,Sophia,Restaurant
2647,Restavracija Strelec,Restaurant
2648,Ošterija Debeluh,Restaurant
2649,Salicornia,Restaurant
2650,Gostilna Vovko,Restaurant
2651,Danilo,Restaurant
2652,Restavracija Sedem,Restaurant
2653,AFTR,Restaurant
2654,Gostilna Krištof,Restaurant
2655,Landerik,Restaurant
2656,Stara Gostilna,Restaurant
2657,Kendov Dvorec,Restaurant
2658,B-Restaurant,Restaurant
2659,Špacapanova Hiša,Restaurant
2660,Dvor Jezeršek,Restaurant
2661,The Restaurant,Restaurant
2662,Julijana,Restaurant
2663,Dveri Pax,Restaurant
2664,Altrokè,Restaurant
2665,Sushimama,Restaurant
2666,Restavracija Hotela Marina,Restaurant
2667,Restavracija Grad Otočec,Restaurant
2668,PEN KLUB Restavracija,Restaurant
2669,Miza za štiri,Restaurant
2670,A3,Restaurant
2671,Peti 181,Restaurant
2672,Grad Štanjel Restaurant & Lounge Bar,Restaurant
2673,City Terasa,Restaurant
2674,Gostilna na Gradu,Restaurant
2675,MAK,Restaurant
2676,Kogo,Restaurant
2677,JB Restavracija,Restaurant
2678,Restavracija Calypso,Restaurant
2679,Gostilna AS,Restaurant
2680,Vila Planinka,Restaurant
2681,TaBar,Restaurant
2682,Restavracija 1906,Restaurant
2683,Restavracija Shambala,Restaurant
2684,Galerija okusov,Restaurant
2685,Hiša Torkla,Restaurant
2686,Jaz by Ana Roš,Restaurant
2687,Old Cellar Bled,Restaurant
2688,Breg,Restaurant
2689,Vila Podvin,Restaurant
2690,Restavracija CUBO,Restaurant
2691,Georgie Bistro,Restaurant
2692,Gostilna Repovž,Restaurant
2693,JUNTO,Restaurant
2694,Sushi Kajin,Restaurant
2695,Tempura Sugimura,Restaurant
2696,Anchovy,Restaurant
2697,Ginza Sushi Ichidai Yugo,Restaurant
2698,ess.,Restaurant
2699,TACUBO Shirokanedai,Restaurant
2700,Tempura Kitagawa,Restaurant
2701,Sushidokoro Shishi,Restaurant
2702,Yugetsu,Restaurant
2703,Sztuczka,Restaurant
2704,Gustaw,Restaurant
2705,Wrocławska,Restaurant
2706,Petit Paris,Restaurant
2707,Kropka.,Restaurant
2708,Papavero,Restaurant
2709,Korill180,Restaurant
2710,Mercado Tapas Bistro,Restaurant
2711,OKRestauracja,Restaurant
2712,Hankki,Restaurant
2713,Vamos!,Restaurant
2714,Hana Sushi,Restaurant
2715,Bez Gwiazdek,Restaurant
2716,La Luce,Restaurant
2717,Fiorentina,Restaurant
2718,Euskadi,Restaurant
2719,A nóż widelec,Restaurant
2720,Filipa 18,Restaurant
2721,Lwia Brama²,Restaurant
2722,Monopol,Restaurant
2723,L’Entre Villes,Restaurant
2724,Fino,Restaurant
2725,Nolita,Restaurant
2726,Mazi,Restaurant
2727,Eliksir,Restaurant
2728,Oberża 86,Restaurant
2729,Mercato,Restaurant
2730,Copernicus,Restaurant
2731,Nafta Neo Bistro,Restaurant
2732,Butchery & Wine,Restaurant
2733,PASODOBRE,Restaurant
2734,Między Mostami,Restaurant
2735,Przystań & Marina,Restaurant
2736,Nare Sushi,Restaurant
2737,Epoka,Restaurant
2738,Fisherman,Restaurant
2739,Dyletanci,Restaurant
2740,The Time,Restaurant
2741,Pod Nosem,Restaurant
2742,Karakter,Restaurant
2743,Kogel Mogel,Restaurant
2744,alewino,Restaurant
2745,Niesztuka,Restaurant
2746,The Farm,Restaurant
2747,CAMPO Modern Grill,Restaurant
2748,Luneta & Lorneta Bistro Club,Restaurant
2749,Piwna47,Restaurant
2750,Tygle,Restaurant
2751,La Maddalena,Restaurant
2752,Artesse,Restaurant
2753,True,Restaurant
2754,Ritz,Restaurant
2755,Warsztat - Food & Garden,Restaurant
2756,Most,Restaurant
2757,Rusiko,Restaurant
2758,Wierzbowa 15,Restaurant
2759,NOTA_RESTO by Tomasz Leśniak,Restaurant
2760,Port Sołacz,Restaurant
2761,Restauracja Solmarina,Restaurant
2762,Źródło,Restaurant
2763,Café Xander,Restaurant
2764,Farina,Restaurant
2765,Butchery & Wine,Restaurant
2766,Bufet KRK,Restaurant
2767,Cucina,Restaurant
2768,Delicja,Restaurant
2769,Pod Różą,Restaurant
2770,Amarylis,Restaurant
2771,dinette,Restaurant
2772,Tuna,Restaurant
2773,Zen On,Restaurant
2774,Marino Bistrot,Restaurant
2775,Martim,Restaurant
2776,Nami Beef and Reef,Restaurant
2777,Acquario,Restaurant
2778,Europejski Grill,Restaurant
2779,Młoda Polska,Restaurant
2780,NOOKS,Restaurant
2781,Noriko Omakase,Restaurant
2782,Lamai Garden,Restaurant
2783,Olivia's Prime,Restaurant
2784,Bà Diệu (Tran Tong Street),Restaurant
2785,Nu Đồ Kitchen,Restaurant
2786,Bún Riêu Cua 39,Restaurant
2787,ST25 by KOTO,Restaurant
2788,Le Beaulieu,Restaurant
2789,Little Bear,Restaurant
2790,Bánh Canh Yến,Restaurant
2791,Mỳ Quảng Cô Sáu,Restaurant
2792,Mì Quảng 1A,Restaurant
2793,Xôi Gà Number One,Restaurant
2794,Kobe Bistro,Restaurant
2795,Phở Bò Phú Gia (District 3),Restaurant
2796,Bún Bò Huế Cô Như,Restaurant
2797,Bà Cô Lốc Cốc,Restaurant
2798,An's Saigon,Restaurant
2799,Fashionista Café,Restaurant
2800,Bánh Xèo Bà Dưỡng,Restaurant
2801,The Temptation,Restaurant
2802,Oryz,Restaurant
2803,Ốc Oanh,Restaurant
2804,Bánh Cuốn Bà Xuân,Restaurant
2805,Highway4 (Hang Tre Street),Restaurant
2806,Bún Thịt Nướng Hoàng Văn,Restaurant
2807,Olivia,Restaurant
2808,Ốc Vi Saigon,Restaurant
2809,Lửa,Restaurant
2810,Phở Việt Nam (District 1),Restaurant
2811,3G Trois Gourmands,Restaurant
2812,Bờm,Restaurant
2813,Cau Go,Restaurant
2814,Nén Light,Restaurant
2815,Phở Hùng (District 1),Restaurant
2816,Lai,Restaurant
2817,Stoker (District 1),Restaurant
2818,Hoa Túc (District 1),Restaurant
2819,Bếp Prime,Restaurant
2820,Square One,Restaurant
2821,Duong's (Ngo Huyen Street),Restaurant
2822,Vietnam House,Restaurant
2823,Bún Chả Đắc Kim (Hang Manh Street),Restaurant
2824,Hemispheres Steak & Seafood Grill,Restaurant
2825,A Bản Mountain Dew,Restaurant
2826,Quán Ăn Ngon (Hoan Kiem),Restaurant
2827,La Badiane,Restaurant
2828,Chapter,Restaurant
2829,Bếp Cuốn,Restaurant
2830,Vien Dining,Restaurant
2831,Bếp Người Hội An,Restaurant
2832,Hanoi Garden,Restaurant
2833,Hiệu Lực Canh Cá Rô Hưng Yên (Hai Ba Trung),Restaurant
2834,Phở Cuốn Chinh Thắng,Restaurant
2835,Hoi An Sense,Restaurant
2836,MỘC Quán Seafood,Restaurant
2837,Béo Ơi,Restaurant
2838,Lüne,Restaurant
2839,Miên Saigon,Restaurant
2840,Maison 1929,Restaurant
2841,My Hanh Seafood,Restaurant
2842,Bún Chả Cá Bà Hoa,Restaurant
2843,Bé Mặn,Restaurant
2844,Okra FoodBar,Restaurant
2845,Phở Gà Châm (Yen Ninh Street),Restaurant
2846,Le Comptoir,Restaurant
2847,Nén Danang,Restaurant
2848,Bếp Hên,Restaurant
2849,La Fontaine,Restaurant
2850,Phở Tiến,Restaurant
2851,Izakaya by Koki,Restaurant
2852,Senté (Nguyen Quang Bich Street),Restaurant
2853,Tanh Tách,Restaurant
2854,Etēsia,Restaurant
2855,Rice Field,Restaurant
2856,Ốc Đào (District 1),Restaurant
2857,Esta,Restaurant
2858,T.U.N.G dining,Restaurant
2859,Azabu,Restaurant
2860,Labri,Restaurant
2861,French Grill By Jean-François Nulli,Restaurant
2862,El Gaucho (Hoan Kiem),Restaurant
2863,La Villa,Restaurant
2864,Bánh Cuốn Bà Hoành,Restaurant
2865,Cơm Gà Lan,Restaurant
2866,Du Yên,Restaurant
2867,Nephele,Restaurant
2868,The Albion by Kirk Westaway,Restaurant
2869,Vi An,Restaurant
2870,Năm Đảnh,Restaurant
2871,Luk Lak,Restaurant
2872,Madame Lân,Restaurant
2873,Mía Dining,Restaurant
2874,Thúy 94 Cũ,Restaurant
2875,Ốc Dì Tú,Restaurant
2876,Đông Phố,Restaurant
2877,Si Dining,Restaurant
2878,Cô Liêng,Restaurant
2879,The Monkey Gallery Dining,Restaurant
2880,Madame Lam,Restaurant
2881,Elgin,Restaurant
2882,Quince Eatery,Restaurant
2883,Cồ Đàm,Restaurant
2884,Octo,Restaurant
2885,Truffle,Restaurant
2886,Chả Cá Anh Vũ (Dong Da),Restaurant
2887,Å by T.U.N.G,Restaurant
2888,Ngon Garden,Restaurant
2889,Bún Chả Hương Liên (Hai Ba Trung),Restaurant
2890,Backstage,Restaurant
2891,Gastro Brisk,Restaurant
2892,Jerome,Restaurant
2893,LiJo,Restaurant
2894,Bistro Camélia,Restaurant
2895,Bar Misera,Restaurant
2896,Belga Queen,Restaurant
2897,Plein 25,Restaurant
2898,LUMA,Restaurant
2899,Söma,Restaurant
2900,Les Volets Rouges,Restaurant
2901,Le Valtrivin,Restaurant
2902,Passage Secret,Restaurant
2903,L'Orangerie,Restaurant
2904,Maison Lagure,Restaurant
2905,Taulissa,Restaurant
2906,Vinello,Restaurant
2907,Curnonsky,Restaurant
2908,Agora,Restaurant
2909,Les Nymphéas,Restaurant
2910,Hokusaï,Restaurant
2911,La Meunière,Restaurant
2912,Glaz,Restaurant
2913,L'Auberge des Crus,Restaurant
2914,Osteria Ime,Restaurant
2915,Alessandro Borghese,Restaurant
2916,Terraforte,Restaurant
2917,Pepe Nero,Restaurant
2918,Storico Caffè Grande - Osteria del Centro,Restaurant
2919,Osteria FraSe,Restaurant
2920,Machettö,Restaurant
2921,NUH Osteria Contemporanea,Restaurant
2922,Nunù Trattoria Moderna,Restaurant
2923,Locanda Sant'Agata,Restaurant
2924,Il Sommelier,Restaurant
2925,Locanda Le Logge,Restaurant
2926,Exforo,Restaurant
2927,Mezcal,Restaurant
2928,Jabalina,Restaurant
