Id,Label,Type
187,Guy Savoy,Restaurant
188,Restaurant Le Meurice Alain Ducasse,Restaurant
189,Relais de la Poste,Restaurant
190,Paul Bocuse,Restaurant
191,Takao Takano,Restaurant
192,Mère Brazier,Restaurant
193,Le Pré - Xavier Beaudiment,Restaurant
194,JY'S,Restaurant
195,Serge Vieira,Restaurant
196,Sushi Yoshinaga,Restaurant
197,Le Neuvième Art,Restaurant
198,Le Sarkara,Restaurant
199,Le Skiff Club,Restaurant
200,La Table des Amis,Restaurant
201,Maison Benoît Vidal,Restaurant
202,Jean Sulpice,Restaurant
203,Duende,Restaurant
204,Py-r,Restaurant
205,La Scène,Restaurant
206,Les Ambassadeurs by Christophe Cussac,Restaurant
207,Les Morainières,Restaurant
208,La Pyramide - Maison Henriroux,Restaurant
209,Cédric Burtin,Restaurant
210,La Merise,Restaurant
211,Racine,Restaurant
212,Michel Kayser - Restaurant Alexandre,Restaurant
213,L'Oiseau Blanc,Restaurant
214,Maison Nouvelle,Restaurant
215,La Côte Saint-Jacques,Restaurant
216,La Table de Pavie,Restaurant
217,Blanc,Restaurant
218,La Table de Franck Putelat,Restaurant
219,La Table de Yoann Conte,Restaurant
220,Auberge de l'Ill,Restaurant
221,La Table d'Olivier Nasti,Restaurant
222,Anne de Bretagne,Restaurant
223,L'Auberge des Glazicks,Restaurant
224,Ekaitza,Restaurant
225,L'Auberge de Saint-Rémy - Fanny Rey & Jonathan Wahid,Restaurant
226,René et Maxime Meilleur,Restaurant
227,Cyril Attrazic,Restaurant
228,La Villa Archange,Restaurant
229,L'Auberge de Montmin,Restaurant
230,Maison Rostang,Restaurant
231,Lalique,Restaurant
232,Christophe Hay - Fleur de Loire,Restaurant
233,La Grand'Vigne - Les Sources de Caudalie,Restaurant
234,L'Observatoire du Gabriel,Restaurant
235,Maison Ronan Kervarrec,Restaurant
236,La Voile - La Réserve Ramatuelle,Restaurant
237,La Grenouillère,Restaurant
238,Le Pressoir d'Argent - Gordon Ramsay,Restaurant
239,Le Parc Les Crayères,Restaurant
240,Georges Blanc,Restaurant
241,Sylvestre Wahid - Les Grandes Alpes,Restaurant
242,Flaveur,Restaurant
243,Le Clarence,Restaurant
244,La Table Lionel Giraud,Restaurant
245,La Côte d'Or,Restaurant
246,William Frachot,Restaurant
247,La Fourchette des Ducs,Restaurant
248,Baumanière 1850,Restaurant
249,Casadelmar,Restaurant
250,Le Chabichou by Stéphane Buron,Restaurant
251,La Chèvre d'Or,Restaurant
252,La Cime,Restaurant
253,Miyamoto,Restaurant
254,Fujiya 1935,Restaurant
255,Koryu,Restaurant
256,Yugen,Restaurant
257,Shunsaiten Tsuchiya,Restaurant
258,Sushi Harasho,Restaurant
259,Yusokuryori Mankamero,Restaurant
260,Sanso Kyoyamato,Restaurant
261,Ogata,Restaurant
262,Kyokaiseki Kichisen,Restaurant
263,Gion Nishikawa,Restaurant
264,Otagi,Restaurant
265,Numata,Restaurant
266,KAHALA,Restaurant
267,Oimatsu Hisano,Restaurant
268,Miyamaso,Restaurant
269,Sumibi Kappo Ifuki,Restaurant
270,Kenninji Gion Maruyama,Restaurant
271,Kodaiji Wakuden,Restaurant
272,Kikunoi Roan,Restaurant
273,Tenjimbashi Aoki,Restaurant
274,Sojiki Nakahigashi,Restaurant
275,Kodaiji Jugyuan,Restaurant
276,Gion Matayoshi,Restaurant
277,Gion Maruyama,Restaurant
278,Ryō-shō,Restaurant
279,Rùn,Restaurant
280,The Eight,Restaurant
281,Octavium,Restaurant
282,L'Envol,Restaurant
283,Wing Lei,Restaurant
284,Lai Ching Heen,Restaurant
285,Arbor,Restaurant
286,Noi by Paulo Airaudo,Restaurant
287,Tin Lung Heen,Restaurant
288,Feng Wei Ju,Restaurant
289,Alain Ducasse at Morpheus,Restaurant
290,Tate,Restaurant
291,Ying Jee Club,Restaurant
292,Lung King Heen,Restaurant
293,Bo Innovation,Restaurant
294,The Huaiyang Garden,Restaurant
295,Chef Tam's Seasons,Restaurant
296,La Yeon,Restaurant
297,Evett,Restaurant
298,Kwonsooksoo,Restaurant
299,Soigné,Restaurant
300,Jungsik,Restaurant
301,alla prima,Restaurant
302,Mitou,Restaurant
303,Restaurant Allen,Restaurant
304,Il Gallo d'Oro,Restaurant
305,Casa de Chá da Boa Nova,Restaurant
306,Antiqvvm,Restaurant
307,The Yeatman Gastronomic R.,Restaurant
308,Vila Joya,Restaurant
309,Ocean,Restaurant
310,Henrique Sá Pessoa,Restaurant
311,Belcanto,Restaurant
312,Landhaus Bacher,Restaurant
313,Döllerer,Restaurant
314,Ois,Restaurant
315,Taubenkobel,Restaurant
316,Obauer,Restaurant
317,SENNS.Restaurant,Restaurant
318,Silvio Nickol Gourmet Restaurant,Restaurant
319,Stüva,Restaurant
320,Restaurant 141 by Joachim Jaud,Restaurant
321,Doubek,Restaurant
322,Ikarus,Restaurant
323,Mraz & Sohn,Restaurant
324,Griggeler Stuba,Restaurant
325,Kräuterreich by Vitus Winkler,Restaurant
326,Gourmetrestaurant Tannenhof,Restaurant
327,Schwarzer Adler,Restaurant
328,Rote Wand Chef's Table,Restaurant
329,Konstantin Filippou,Restaurant
330,Delta,Restaurant
331,Matthias,Restaurant
332,Loumi,Restaurant
333,June,Restaurant
334,MiZAR,Restaurant
335,Showroom,Restaurant
336,FAVORITE restaurant,Restaurant
337,Wullenwever,Restaurant
338,VILLINO,Restaurant
339,Stadtpfeiffer,Restaurant
340,Das Marktrestaurant,Restaurant
341,Laudensacks Gourmet Restaurant,Restaurant
342,KARRisma,Restaurant
343,La Société,Restaurant
344,Christian's Restaurant - Gasthof Grainer,Restaurant
345,Ursprung,Restaurant
346,Speiseberg,Restaurant
347,OX,Restaurant
348,Marcel von Winckelmann,Restaurant
349,Sommerfeld,Restaurant
350,irori,Restaurant
351,Restaurant Überfahrt,Restaurant
352,Gabelspiel,Restaurant
353,MARBURGER Esszimmer,Restaurant
354,Anthony's Kitchen,Restaurant
355,Dobler's,Restaurant
356,Casala - das Restaurant,Restaurant
357,Keidenzeller Hof,Restaurant
358,Meisenheimer Hof,Restaurant
359,Adler,Restaurant
360,Malathounis,Restaurant
361,Troyka,Restaurant
362,GLORIE,Restaurant
363,La Boucherie,Restaurant
364,Hawara,Restaurant
365,Sparkling Bistro,Restaurant
366,Ich weiß ein Haus am See,Restaurant
367,Storchen,Restaurant
368,360°,Restaurant
369,Steins Traube,Restaurant
370,Borst,Restaurant
371,HOCHZWEI,Restaurant
