Name,Cuisine,Award
Ducasse au Château de Versailles - Le Grand Contrôle,"Classic Cuisine, French",1 Star
Haut Bonheur de la Table,Modern Cuisine,1 Star
Granite,Modern Cuisine,1 Star
Ébullition,Creative,1 Star
Le Tout-Paris,Modern Cuisine,1 Star
Pureté,"Modern Cuisine, Creative",1 Star
En Pleine Nature,"Modern Cuisine, Creative",1 Star
Auberge Saint-Laurent,"Modern Cuisine, Traditional Cuisine",1 Star
Au Crocodile,Modern Cuisine,1 Star
Auberge au Bœuf,Modern Cuisine,1 Star
Maison Hache,Provençal,1 Star
Anona,Modern Cuisine,1 Star
Auberge de la Tour,Modern Cuisine,1 Star
"Une Table, au Sud",Modern Cuisine,1 Star
Choko Ona,"Modern Cuisine, Creative",1 Star
Rustique,Creative,1 Star
Omija,Creative,1 Star
Shabour,Creative,1 Star
La Table de L'Incomparable,Modern Cuisine,1 Star
Fleur de Pavé,Modern Cuisine,1 Star
La Table d'Asten,Modern Cuisine,1 Star
L'Abissiou,Modern Cuisine,1 Star
Aumì,Modern Cuisine,1 Star
La Huchette,"Modern Cuisine, Creative",1 Star
Villa Pinewood,Creative,1 Star
Auberge Sauvage,Creative,1 Star
Reflet d'Obione,"Modern Cuisine, Mediterranean Cuisine",1 Star
Villa Salone,Modern Cuisine,1 Star
Mont Blanc Restaurant & Goûter,Modern Cuisine,1 Star
Pavyllon Paris,Modern Cuisine,1 Star
Le Restaurant du Cerisier,Creative,1 Star
Maison Desamy,Modern Cuisine,1 Star
Jean-Luc Tartarin,"Creative, Modern Cuisine",1 Star
Il Carpaccio,Italian,1 Star
Maison Tiegezh,Modern Cuisine,1 Star
L'Impulsif,Creative,1 Star
Ōrtensia,Modern Cuisine,1 Star
Calice,Modern Cuisine,1 Star
Ressources,Modern Cuisine,1 Star
La Passagère - Hôtel Belles Rives,Creative,1 Star
Au 14 Février,Modern Cuisine,1 Star
Apicius,Modern Cuisine,1 Star
Le Grand Cap,Modern Cuisine,1 Star
Le Jardin de Berne,Modern Cuisine,1 Star
La Table - Hôtel Clarance,Modern Cuisine,1 Star
Alchémille,Creative,1 Star
L'Évidence,"Creative, Modern Cuisine",1 Star
La Table de l'Ours,Modern Cuisine,1 Star
La Tête en l'air,Creative,1 Star
Maison Caillet,Creative,1 Star
Le 1201 - Abbaye de Villeneuve,Modern Cuisine,1 Star
Oxte,Mexican,1 Star
L'Orchidée,Thai,1 Star
Likoké,Creative,1 Star
Arborescence,"Creative, Modern Cuisine",1 Star
Pantagruel,Modern Cuisine,1 Star
Le Petit Léon,Modern Cuisine,1 Star
CIBO,Modern Cuisine,1 Star
La Chapelle - Château Saint-Jean,"Creative, Modern Cuisine",1 Star
FIEF,"Modern Cuisine, Creative",1 Star
Le Favori - Les Sources de Cheverny,Modern Cuisine,1 Star
Arbore & Sens,"Modern Cuisine, Creative",1 Star
Belle de Mars,Modern Cuisine,1 Star
L'Embrun,Modern Cuisine,1 Star
Jean Imbert au Plaza Athénée,Classic Cuisine,1 Star
La Table d'Antonio Salvatore au Rampoldi,"Italian, Creative",1 Star
Ezia,Modern Cuisine,1 Star
Bruno,Classic Cuisine,1 Star
Auberge Frankenbourg,Modern Cuisine,1 Star
La Table de Christophe Hay et Loïs Bée,"Modern Cuisine, Creative",1 Star
Château de la Treyne,Modern Cuisine,1 Star
Jérôme Feck,Modern Cuisine,1 Star
Le Pont de l'Ouysse,Contemporary,1 Star
NESO,Creative,1 Star
La Chapelle Saint-Martin,Modern Cuisine,1 Star
La Cachette,"Creative, Modern Cuisine",1 Star
Gaya par Pierre Gagnaire,"Modern Cuisine, Seafood",1 Star
Villa de l'Étang Blanc,Modern Cuisine,1 Star
Omar Dhiab,Modern Cuisine,1 Star
Tomy & Co,Modern Cuisine,1 Star
Divellec,Seafood,1 Star
Pastis Restaurant,Modern Cuisine,1 Star
Le Mas Bottero,Modern Cuisine,1 Star
Vaisseau,Creative,1 Star
Le Panoramique - Domaine de la Corniche,Modern Cuisine,1 Star
L'Hysope,"Creative, Modern Cuisine",1 Star
Racines - Bruno Cirino,"Vegetarian, Mediterranean Cuisine",1 Star
Ivan Vautier,Modern Cuisine,1 Star
Côté Cuisine,Modern Cuisine,1 Star
La Pomme d'Api,Creative,1 Star
Les Trois Soleils de Montal,Modern Cuisine,1 Star
Briketenia,Modern Cuisine,1 Star
Atmosphères,Creative,1 Star
Le Puits du Trésor,Modern Cuisine,1 Star
Stéphane Tournié - Les Jardins de l'Opéra,Modern Cuisine,1 Star
La Palme d'Or,Modern Cuisine,1 Star
Le Moulin de l'Abbaye,Modern Cuisine,1 Star
Le Vivier,Modern Cuisine,1 Star
La Table de Chaintré,Modern Cuisine,1 Star
Auberge de la Forge,Modern Cuisine,1 Star
La Table de Philippe Girardon,Modern Cuisine,1 Star
La Table de Xavier Mathieu,"Modern Cuisine, Mediterranean Cuisine",1 Star
La Ribaudière,Modern Cuisine,1 Star
Le Puits Saint Jacques,Modern Cuisine,1 Star
Les Foudres,Modern Cuisine,1 Star
Louise,Modern Cuisine,1 Star
Substance,Creative,1 Star
Chez Michèle,Modern Cuisine,1 Star
Il Cortile,"Mediterranean Cuisine, Italian",1 Star
Baieta,Modern Cuisine,1 Star
AinTimiste,"Modern Cuisine, Creative",1 Star
JAN,Creative,1 Star
L'Aromate,Modern Cuisine,1 Star
Épithèque,Modern Cuisine,1 Star
L'Anthocyane,Modern Cuisine,1 Star
La Madeleine,Modern Cuisine,1 Star
Anne,Modern Cuisine,1 Star
Maison Decoret,Creative,1 Star
Le Pressoir,"Modern Cuisine, Creative",1 Star
Le Raisin,Traditional Cuisine,1 Star
Le Manoir de la Régate,"Modern Cuisine, Creative",1 Star
L'Atlantide 1874 - Maison Guého,Modern Cuisine,1 Star
Auberge de Clochemerle,Modern Cuisine,1 Star
Jérôme Nutile,Modern Cuisine,1 Star
L'Odas,Creative,1 Star
L'Essentiel,Modern Cuisine,1 Star
Grand Hôtel du Lion d'Or,Modern Cuisine,1 Star
Lasserre,Classic Cuisine,1 Star
La Vieille Tour,Modern Cuisine,1 Star
Le Clocher des Pères,"Creative, Modern Cuisine",1 Star
La Table du Gourmet,"Creative, Modern Cuisine",1 Star
L'Almandin,Modern Cuisine,1 Star
Le Saint Placide,Creative,1 Star
Le Kaïku,Modern Cuisine,1 Star
Les Cèdres,Classic Cuisine,1 Star
Lavandin - Château Les Oliviers de Salettes,Modern Cuisine,1 Star
Le Relais des Moines,Modern Cuisine,1 Star
Le Cap,Modern Cuisine,1 Star
La Renaissance,Modern Cuisine,1 Star
Lamartine,Modern Cuisine,1 Star
Restaurant Julien Binz,Modern Cuisine,1 Star
Le Figuier de Saint-Esprit,Regional Cuisine,1 Star
Les Pêcheurs,Mediterranean Cuisine,1 Star
Louroc - Hôtel du Cap-Eden-Roc,Mediterranean Cuisine,1 Star
Le Hittau,Modern Cuisine,1 Star
Aida,Japanese,1 Star
La Table de Cédric Béchade - L'Auberge Basque,Creative,1 Star
Aux Pesked,"Seafood, Modern Cuisine",1 Star
L'Auberge Saint Jean,Modern Cuisine,1 Star
La Coopérative - Domaine Riberach,Modern Cuisine,1 Star
Le Gindreau,Modern Cuisine,1 Star
Auberge Quintessence,Modern Cuisine,1 Star
Sushi Shunei,"Japanese, Sushi",1 Star
La Mare aux Oiseaux,Creative,1 Star
Logis de la Cadène,Modern Cuisine,1 Star
Château de Pray,Modern Cuisine,1 Star
Le Goût du Bonheur - La Fenière,"Creative, Farm to table",1 Star
Les Genêts,Creative,1 Star
La Table d'Olivier,Modern Cuisine,1 Star
Le Kléber - La Maison Bonnet,Modern Cuisine,1 Star
L'Esquisse,Modern Cuisine,1 Star
Nicolas Carro - Hôtel de Carantec,"Creative, Modern Cuisine",1 Star
La Rotonde des Trésoms,Modern Cuisine,1 Star
Jean-Marc Pérochon,Modern Cuisine,1 Star
La Table d'Hôtes - Le Quatrième Mur,"Modern Cuisine, Creative",1 Star
La Table de Pierre Reboul,Creative,1 Star
Assa,Creative,1 Star
L'Émulsion,"Creative, Modern Cuisine",1 Star
L'Oiseau Bleu,Modern Cuisine,1 Star
Soléna,Modern Cuisine,1 Star
Le Saint-James,Modern Cuisine,1 Star
L'Or Q'idée,Modern Cuisine,1 Star
Agapé,Modern Cuisine,1 Star
Chakaiseki Akiyoshi,Japanese,1 Star
L'Escarbille,"Classic Cuisine, Modern Cuisine",1 Star
Au Vieux Couvent,Modern Cuisine,1 Star
Étude,Modern Cuisine,1 Star
Frédéric Simonin,Modern Cuisine,1 Star
La Galinette,Creative,1 Star
La Table Breizh Café,Modern Cuisine,1 Star
Auberge de l'Abbaye,Modern Cuisine,1 Star
Ithurria,Modern Cuisine,1 Star
Moulin d'Alotz,"Creative, Vegetarian",1 Star
Le Haut-Allier,Modern Cuisine,1 Star
Le Pavillon des Boulevards,Modern Cuisine,1 Star
Le Prince Noir - Vivien Durand,Modern Cuisine,1 Star
La Bastide,"Modern Cuisine, Provençal",1 Star
L'Étang du Moulin,Modern Cuisine,1 Star
Clos du Cèdre,Modern Cuisine,1 Star
Astrance,Creative,1 Star
Jacques Faussat,Traditional Cuisine,1 Star
Villa9Trois,Modern Cuisine,1 Star
Auberge du Pont d'Acigné,Modern Cuisine,1 Star
Le Village Tomohiro,Creative,1 Star
Onor,Modern Cuisine,1 Star
Restaurant de la Loire,Modern Cuisine,1 Star
La Table du 11,Modern Cuisine,1 Star
Dyades au Domaine des Étangs,Modern Cuisine,1 Star
Akrame,Creative,1 Star
Don Juan II,Modern Cuisine,1 Star
La Pomme d'Or,Modern Cuisine,1 Star
Auberge du Pont,Modern Cuisine,1 Star
La Bastide de Moustiers,Mediterranean Cuisine,1 Star
Dan B.,Modern Cuisine,1 Star
La Table de La Butte,Modern Cuisine,1 Star
Avel Vor,Modern Cuisine,1 Star
Allium,Creative,1 Star
La Table d'Uzès,Modern Cuisine,1 Star
La Maison Despouès,Modern Cuisine,1 Star
La Robe,Modern Cuisine,1 Star
Ar Men Du,Modern Cuisine,1 Star
L'Ekrin by Laurent Azoulay,Modern Cuisine,1 Star
Skab,Modern Cuisine,1 Star
Le Mascaret,Modern Cuisine,1 Star
Les Terraillers,Modern Cuisine,1 Star
Auberge Le Prieuré,"Creative, Modern Cuisine",1 Star
L'Impertinent,Creative,1 Star
Lore Ttipia - Auberge Ostape,Modern Cuisine,1 Star
Tentazioni,"Italian, Modern Cuisine",1 Star
Auberge des Templiers,Modern Cuisine,1 Star
La Nouvelle Auberge,Modern Cuisine,1 Star
L'Archeste,Modern Cuisine,1 Star
La Scène Thélème,Modern Cuisine,1 Star
Pages,Modern Cuisine,1 Star
Racines,Modern Cuisine,1 Star
Le Grand Cerf,Classic Cuisine,1 Star
Bellefeuille - Saint James Paris,Creative,1 Star
Ima,Creative,1 Star
La Table Mirasol,Modern Cuisine,1 Star
Kasbür,Modern Cuisine,1 Star
L'Ours,"Modern Cuisine, Creative",1 Star
Le Corot,Creative,1 Star
Moulin de la Tardoire,Modern Cuisine,1 Star
La Réserve Rimbaud,Modern Cuisine,1 Star
Le Chantecler,Modern Cuisine,1 Star
Gordon Ramsay au Trianon,Creative,1 Star
Auberge Grand'Maison,Traditional Cuisine,1 Star
Guillaume Scheer - Les Plaisirs Gourmands,Modern Cuisine,1 Star
La Petite Maison de Cucuron,Classic Cuisine,1 Star
L'Oustalet,Modern Cuisine,1 Star
A Casa di Mà,Modern Cuisine,1 Star
Le Jardin des Plumes,Creative,1 Star
Côté Jardin,"Creative, Modern Cuisine",1 Star
Les Ducs de Lorraine,Modern Cuisine,1 Star
L'Inattendu - Domaine de Locguénolé,"Creative, Modern Cuisine",1 Star
La Palmeraie - Château de Valmer,Modern Cuisine,1 Star
Toya,Creative,1 Star
Auberge Chez Guth,Creative,1 Star
Le Relais de la Poste,Modern Cuisine,1 Star
La Maison de Pierre,Modern Cuisine,1 Star
Auberge Saint-Walfrid,Classic Cuisine,1 Star
Le Vieux Logis,Modern Cuisine,1 Star
Maison Chenet - Entre Vigne et Garrigue,Modern Cuisine,1 Star
Le Millénaire,"Modern Cuisine, Creative",1 Star
Château Eza,Modern Cuisine,1 Star
Les Explorateurs - Hôtel Pashmina,Modern Cuisine,1 Star
Leclère,Modern Cuisine,1 Star
Les Cadets,Modern Cuisine,1 Star
Les Fresques - Château des Vigiers,Modern Cuisine,1 Star
La Maison dans le Parc,Creative,1 Star
LuluRouget,Modern Cuisine,1 Star
Les Reflets,Modern Cuisine,1 Star
L'Auberge de Lucinges,Modern Cuisine,1 Star
Le 7ème Continent,Modern Cuisine,1 Star
Château d'Adoménil,Modern Cuisine,1 Star
Ô Flaveurs,Modern Cuisine,1 Star
Séchex Nous,Modern Cuisine,1 Star
Les Voiles d'Or,"Modern Cuisine, Seafood",1 Star
Auberge de la Mine,Classic Cuisine,1 Star
Château du Mont Joly,Modern Cuisine,1 Star
La Verrière,Modern Cuisine,1 Star
La Chaumière,Modern Cuisine,1 Star
L'Essentiel,"Modern Cuisine, Creative",1 Star
Maximin Hellio,Modern Cuisine,1 Star
Auberge de la Charme,Creative,1 Star
La Table de Courcelles - Château de Courcelles,Modern Cuisine,1 Star
La Table d'Hôtes - La Rôtisserie du Chambertin,Modern Cuisine,1 Star
Automne,Modern Cuisine,1 Star
Burnel,Modern Cuisine,1 Star
Au Gourmet,Modern Cuisine,1 Star
Le P'tit Polyte,Modern Cuisine,1 Star
Le Farçon,Modern Cuisine,1 Star
L'Axel,Modern Cuisine,1 Star
Nakatani,Modern Cuisine,1 Star
Fontevraud L'Ermitage,Creative,1 Star
Origine,Creative,1 Star
Le Cin5 - Au Cœur du Village,Creative,1 Star
La Table de la Ferme,"Modern Cuisine, Corsican",1 Star
Auberge de la Brie,Modern Cuisine,1 Star
La Marande,Modern Cuisine,1 Star
Château de Courban,Modern Cuisine,1 Star
Le Clair de la Plume,Modern Cuisine,1 Star
Auberge du Cep,Modern Cuisine,1 Star
Les Fresques - Hôtel Royal,Modern Cuisine,1 Star
Loiseau des Ducs,Modern Cuisine,1 Star
Le Feuillée - Le Couvent des Minimes,Modern Cuisine,1 Star
milpa,"Mexican, Contemporary",1 Star
shiro,"Contemporary, Italian",1 Star
Rooots Nakanoshima,Contemporary,1 Star
Tsujifusa,Japanese,1 Star
Gion Mamma,Japanese,1 Star
KOKE,Innovative,1 Star
Naniwaryori Yu,Japanese,1 Star
Torisho Ishii,Yakitori,1 Star
Pierre,French,1 Star
La Bécasse,French,1 Star
Rakushin,Japanese,1 Star
LE PONT DE CIEL,French,1 Star
Higashichaya Nakamura,Japanese,1 Star
Hiraishi,Tempura,1 Star
Différence,French,1 Star
Nakamitsu,Japanese,1 Star
Kikunoi Sushi Ao,"Sushi, Japanese",1 Star
Terada,Japanese,1 Star
Chi-Fu,Chinese,1 Star
Shinchi Yamamoto,Japanese,1 Star
Sushidokoro Amano,Sushi,1 Star
Nishitemma Ichigaya,Japanese,1 Star
Kenya,Japanese,1 Star
Konoha,"Japanese, Tempura",1 Star
cenci,Italian,1 Star
capi,Innovative,1 Star
Muromachi Yui,Japanese,1 Star
YUNiCO,"Italian, Italian Contemporary",1 Star
Ryoriya Maekawa,Japanese,1 Star
a canto,Italian,1 Star
Yonemasu,Japanese,1 Star
Masuda,Japanese,1 Star
Sui Oya,Japanese,1 Star
Zeshin,Japanese,1 Star
Sushi Hoshiyama,Sushi,1 Star
Kaishoku Shimizu,Japanese,1 Star
Oryori Horikawa,Japanese,1 Star
Ajikitcho Bumbuan,Japanese,1 Star
agnel d'or,French,1 Star
ad hoc,French,1 Star
Iwaki,Japanese,1 Star
Shimmonzen Yonemura,Innovative,1 Star
VELROSIER,Chinese,1 Star
Jiki Miyazawa,Japanese,1 Star
Mirei,Japanese,1 Star
Droit,French,1 Star
Sushi Kappo Nakaichi,"Japanese, Sushi",1 Star
Gion Okada,Japanese,1 Star
Vena,Italian,1 Star
Kyoryori Fujimoto,Japanese,1 Star
Kyoboshi,Tempura,1 Star
Nishishinsaibashi Yuno,Japanese,1 Star
MOKO,French,1 Star
la bûche,French,1 Star
Nijo Minami,Japanese,1 Star
Jean-Georges at The Shinmonzen,"French, Contemporary",1 Star
Miyawaki,Japanese,1 Star
SINAE,French,1 Star
Kashiwaya Osaka Kitashinchi,Japanese,1 Star
Katamachi Kawaguchi,Japanese,1 Star
Ryoriya Inaya,Japanese,1 Star
La Biographie···,French,1 Star
Ono,Japanese,1 Star
Matsuzushi Tanigawa,Sushi,1 Star
Fushimimachi Kakoiyama,Japanese,1 Star
PRESQU'ÎLE,French,1 Star
Teruya,Japanese,1 Star
Point,French,1 Star
Oryori Yamada,Japanese,1 Star
Nishitemma Nakamura,Japanese,1 Star
Yakitori Ichimatsu,Yakitori,1 Star
Nishino,Japanese,1 Star
La Baie,French,1 Star
P greco,Italian,1 Star
Ajikitcho Horieten,Japanese,1 Star
Sushi Murakami Jiro,Sushi,1 Star
Oimatsu Kitagawa,Japanese,1 Star
Ñ,Spanish,1 Star
Reine des prés,French,1 Star
IDÉAL bistro,French,1 Star
Higashiyama Yoshihisa,Japanese,1 Star
Nakazen,Japanese,1 Star
Nijojo Furuta,Japanese,1 Star
Noguchi Tsunagu,Japanese,1 Star
Tozentei,Japanese,1 Star
Kokyu,Japanese,1 Star
Kappo Hassun,Japanese,1 Star
Sushi Matsumoto,Sushi,1 Star
Godan Miyazawa,Japanese,1 Star
Kyo Seika,Chinese,1 Star
Oryori Mashita,Japanese,1 Star
Yoshiko,Fugu / Pufferfish,1 Star
Ayanokoji Karatsu,Japanese,1 Star
Doppo,Japanese,1 Star
Mizuno,Japanese,1 Star
anpeiji,French,1 Star
Kamigatachuka SHINTANI,Chinese,1 Star
Tenjaku,"Tempura, Japanese",1 Star
Sushi Sanshin,Sushi,1 Star
Yakitori Torisen,Yakitori,1 Star
DODICI,Italian,1 Star
Alarde,Spanish,1 Star
Wagokoro Izumi,Japanese,1 Star
Muromachi Wakuden,Japanese,1 Star
Kentan Horibe,Japanese,1 Star
Iroha,Japanese,1 Star
Sushi Rakumi,Sushi,1 Star
il Centrino,Italian,1 Star
Ichiju Nisai Ueno Minoten,Japanese,1 Star
Bini,Italian,1 Star
TAKAYAMA,Italian,1 Star
SEN,Japanese,1 Star
Torisaki,Yakitori,1 Star
Kinobu,Japanese,1 Star
Gosho Iwasaki,Japanese,1 Star
Oryori Mitsuyasu,Japanese,1 Star
Gion Fukushi,Japanese,1 Star
Gokomachi Tagawa,Japanese,1 Star
HANA-Kitcho,Japanese,1 Star
Kamanza Nagashima,Japanese,1 Star
Ogawa,Japanese,1 Star
Kanamean Nishitomiya,Japanese,1 Star
Gion Owatari,Japanese,1 Star
Kako Okamoto,Japanese,1 Star
Kiyama,Japanese,1 Star
Gion Kida,Japanese,1 Star
Okina,Japanese,1 Star
Uozuya,Japanese,1 Star
Tokuha Motonari,Japanese,1 Star
Sawada,Japanese,1 Star
KushinGarando,Chinese,1 Star
MASHIRO,Contemporary,1 Star
Enyuan Kobayashi,"Tempura, Japanese",1 Star
Aji,Innovative,1 Star
Sushi Kissho by Miyakawa,Sushi,1 Star
Mizumi,Japanese,1 Star
Ryota Kappou Modern,Japanese,1 Star
Five Foot Road,Sichuan,1 Star
Louise,French Contemporary,1 Star
Chaat,Indian,1 Star
The Legacy House,Shun Tak,1 Star
Zi Yat Heen,Cantonese,1 Star
Gaddi's,French,1 Star
Xin Rong Ji,Taizhou,1 Star
Seventh Son (Wan Chai),Cantonese,1 Star
Ho Hung Kee (Causeway Bay),Noodles and Congee,1 Star
Sushi Saito,Sushi,1 Star
Duddell's,Cantonese,1 Star
Liu Yuan Pavilion,Shanghainese,1 Star
Épure,French Contemporary,1 Star
Beefbar,Steakhouse,1 Star
Cristal Room by Anne-Sophie Pic,French Contemporary,1 Star
Plaisance by Mauro Colagreco,French Contemporary,1 Star
Roganic,European Contemporary,1 Star
Neighborhood,European Contemporary,1 Star
Mono,Latin American,1 Star
Yè Shanghai (Tsim Sha Tsui),Shanghainese,1 Star
Zuicho,Japanese,1 Star
Andō,Innovative,1 Star
Yardbird,Yakitori,1 Star
Pearl Dragon,Cantonese,1 Star
8 1/2 Otto e Mezzo - Bombana,Italian,1 Star
Spring Moon,Cantonese,1 Star
Man Wah,Cantonese,1 Star
The Chairman,Cantonese,1 Star
Petrus,French,1 Star
Zhejiang Heen,Zhejiang,1 Star
Vea,Innovative,1 Star
Yat Tung Heen,Cantonese,1 Star
Yat Lok (Central),Cantonese Roast Meats,1 Star
Shang Palace,Cantonese,1 Star
Sun Tung Lok,Cantonese,1 Star
Fook Lam Moon (Wan Chai),Cantonese,1 Star
Pang's Kitchen,Cantonese,1 Star
New Punjab Club,"Indian, Pakistani",1 Star
Arcane,European Contemporary,1 Star
Sushi Kinetsu,Sushi,1 Star
Estro,Italian,1 Star
Godenya,Japanese,1 Star
Yong Fu,Ningbo,1 Star
Kappo Rin,Japanese,1 Star
Tosca di Angelo,Italian,1 Star
Lai Heen,Cantonese,1 Star
Ying,Cantonese,1 Star
Summer Palace,Cantonese,1 Star
Kam's Roast Goose,Cantonese Roast Meats,1 Star
Imperial Treasure Fine Chinese Cuisine (Tsim Sha Tsui),Cantonese,1 Star
Loaf On,Seafood,1 Star
Fu Ho,Cantonese,1 Star
Racines,French Contemporary,1 Star
Nagamoto,Japanese,1 Star
Ami,French Contemporary,1 Star
Whey,Asian Contemporary,1 Star
Sushi Wadatsumi,Sushi,1 Star
I M Teppanyaki & Wine,Teppanyaki,1 Star
Man Ho (Admiralty),Cantonese,1 Star
Tuber Umberto Bombana,Italian,1 Star
Hansik Goo,Korean,1 Star
Belon,French Contemporary,1 Star
Mora,Innovative,1 Star
Yu Yuan,Chinese,1 Star
Onjium,Korean,1 Star
Muoki,Contemporary,1 Star
Muni,Japanese,1 Star
Bicena,Korean,1 Star
Fiotto,Italian Contemporary,1 Star
Solbam,"Contemporary, Korean Contemporary",1 Star
Sosuheon,Sushi,1 Star
Tutoiement,French,1 Star
Sushi Matsumoto,Sushi,1 Star
Soul,Contemporary,1 Star
L'Amant Secret,Contemporary,1 Star
Zero Complex,Innovative,1 Star
Exquisine,Contemporary,1 Star
Haobin,Chinese,1 Star
Escondido,Mexican,1 Star
Légume,"Vegan, Vegetarian",1 Star
VINHO,Contemporary,1 Star
y'east,Contemporary,1 Star
KANG MINCHUL Restaurant,French Contemporary,1 Star
YUN,Korean,1 Star
HANE,Sushi,1 Star
7th Door,"Contemporary, Korean",1 Star
Palate,Contemporary,1 Star
Soseoul Hannam,Korean,1 Star
Goryori Ken,"Contemporary, Japanese Contemporary",1 Star
L'Amitié,French,1 Star
Mori,Japanese,1 Star
Eatanic Garden,Korean Contemporary,1 Star
Gigas,Mediterranean Cuisine,1 Star
Palatial,"Contemporary, Modern Cuisine",1 Star
YŌSO,Japanese,1 Star
Vila Foz,Contemporary,1 Star
Al Sud,Creative,1 Star
EPUR,Creative,1 Star
Vista,Modern Cuisine,1 Star
Fifty Seconds,Creative,1 Star
A Ver Tavira,Modern Cuisine,1 Star
Midori,"Japanese, Creative",1 Star
Eleven,Creative,1 Star
G Pousada,"Creative, Regional Cuisine",1 Star
Kanazawa,Japanese,1 Star
William,Contemporary,1 Star
Loco,Modern Cuisine,1 Star
Herdade do Esporão,Contemporary,1 Star
Desarma,Contemporary,1 Star
Vinha,"Portuguese, Creative",1 Star
Blind,Creative,1 Star
Grenache,French Contemporary,1 Star
Ó Balcão,Modern Cuisine,1 Star
SÁLA de João Sá,Modern Cuisine,1 Star
Lab by Sergi Arola,Creative,1 Star
Oculto,"Modern Cuisine, Contemporary",1 Star
Gusto by Heinz Beck,Mediterranean Cuisine,1 Star
Euskalduna Studio,Modern Cuisine,1 Star
Pedro Lemos,"Contemporary, Modern Cuisine",1 Star
Feitoria,Modern Cuisine,1 Star
Fortaleza do Guincho,Modern Cuisine,1 Star
A Cozinha,Modern Cuisine,1 Star
CURA,Modern Cuisine,1 Star
Mesa de Lemos,Creative,1 Star
Le Monument,Contemporary,1 Star
Bon Bon,Modern Cuisine,1 Star
"Marlene,",Modern Cuisine,1 Star
Kabuki Lisboa,"Japanese, Fusion",1 Star
2Monkeys,"Creative, French Contemporary",1 Star
Encanto,Vegetarian,1 Star
Thaller - Restaurant,"Seasonal Cuisine, Modern Cuisine",1 Star
RAU nature-based cuisine,"Modern Cuisine, Seasonal Cuisine",1 Star
Paula,Creative,1 Star
Harald Irka am Pfarrhof - Fine Dine,"Creative, Seasonal Cuisine",1 Star
Sattlerhof,"Creative, Seasonal Cuisine",1 Star
Bootshaus,"Creative, Regional Cuisine",1 Star
Hubert Wallner,"Modern Cuisine, Innovative",1 Star
Die Weinbank - Restaurant,"Creative, Seasonal Cuisine",1 Star
Lukas Kapeller,"Modern Cuisine, Seasonal Cuisine",1 Star
ZeitRAUM,"Creative, Seasonal Cuisine",1 Star
Geschwister Rauch - Restaurant,"Creative, Seasonal Cuisine",1 Star
Geiger Alm,"Creative, Seasonal Cuisine",1 Star
Mörwald „Toni M.“,Classic Cuisine,1 Star
Kilian Stuba,"Creative, Seasonal Cuisine",1 Star
Kirchenwirt,"Seasonal Cuisine, Regional Cuisine",1 Star
Pfefferschiff,Creative,1 Star
Herzig,"Modern Cuisine, Creative",1 Star
Pramerl & the Wolf,"Creative, Seasonal Cuisine",1 Star
Edvard,"Creative, Modern Cuisine",1 Star
The Glass Garden,Creative,1 Star
Rouge Noir,"Creative, Modern Cuisine",1 Star
Waldschänke,"Contemporary, Traditional Cuisine",1 Star
Saziani,"Seasonal Cuisine, Creative",1 Star
Wörgötter - Fine Dining,"Creative, French",1 Star
Lukas Restaurant,"Creative, Asian Influences",1 Star
Tanglberg,French,1 Star
Esslokal,Contemporary,1 Star
Die Forelle,"Creative, Regional Cuisine",1 Star
Les Deux Kitzbühel - Brasserie & Bar,Modern French,1 Star
Beef Club,"Modern Cuisine, International",1 Star
Moritz,"Modern Cuisine, Regional Cuisine",1 Star
Lieperts,Modern Cuisine,1 Star
Schlosskeller Gourmetstube,"Modern Cuisine, Seasonal Cuisine",1 Star
Rossbarth,"Modern Cuisine, Seasonal Cuisine",1 Star
Verdi,"International, Creative",1 Star
Artis,"Creative, International",1 Star
Esszimmer - Everybody's Darling,"Modern Cuisine, International",1 Star
TIAN,"Vegetarian, Creative",1 Star
Atelier Fischer,Creative,1 Star
dahoam by Andreas Herbst,"Seasonal Cuisine, Modern Cuisine",1 Star
Interalpen - Chef's Table,"Creative, Seasonal Cuisine",1 Star
[aend],"Modern Cuisine, Creative",1 Star
Mesnerhaus,"Seasonal Cuisine, Modern Cuisine",1 Star
Die Geniesserstube im Alpenhof,"Alpine, Classic Cuisine",1 Star
Gründler's Gourmet Stüberl,Classic Cuisine,1 Star
APRON,"Creative, Austrian",1 Star
Hubertusstube,Classic Cuisine,1 Star
Guat'z Essen,"Vegetarian, Seasonal Cuisine",1 Star
Paznaunerstube,"Contemporary, Innovative",1 Star
Guth,"Classic Cuisine, Traditional Cuisine",1 Star
Mangold,Classic Cuisine,1 Star
Alpin Gourmet Stube,Modern Cuisine,1 Star
Z'SOM,"Modern Cuisine, South American",1 Star
Esszimmer,"Creative, Classic Cuisine",1 Star
Austria Stuben,"Contemporary, Creative",1 Star
Ötztaler Stube,"Modern Cuisine, Regional Cuisine",1 Star
Schlossherrnstube,"Contemporary, French",1 Star
Bruderherz Fine Dine,Creative,1 Star
Gannerhof,"Regional Cuisine, Innovative",1 Star
Makris Athens,Creative,1 Star
Tudor Hall,"Modern Cuisine, Creative",1 Star
Botrini's,Mediterranean Cuisine,1 Star
Patio,Modern Cuisine,1 Star
Hervé,"Modern Cuisine, Contemporary",1 Star
Hytra,Modern Cuisine,1 Star
CTC Urban Gastronomy,Modern Cuisine,1 Star
